Distance correlation coefficient,features
0.8239698007331707,perimeter_worst
0.8151497242545227,concave.points_worst
0.8141142121327415,concave.points_mean
0.8126129847302519,radius_worst
0.801305354211315,area_worst
0.7699419180506556,perimeter_mean
0.7530142810126439,area_mean
0.752519509044005,radius_mean
0.7511024746087994,concavity_mean
0.7089511831207806,area_se
0.7079185762141791,concavity_worst
0.6277115357129985,radius_se
0.6270338687053041,perimeter_se
0.6076330980152832,compactness_mean
0.6063812111492665,compactness_worst
0.4667758156039254,texture_worst
0.46490641466406285,concave.points_se
0.4498621095302098,texture_mean
0.42833619777588083,concavity_se
0.41404079801699506,smoothness_worst
0.40928535474447064,symmetry_worst
0.35899583600667406,smoothness_mean
0.3473898261693141,compactness_se
0.3303023785686853,fractal_dimension_worst
0.32428072347820924,symmetry_mean
0.18439768165856008,fractal_dimension_se
0.1072782593162474,symmetry_se
0.09492583709643872,smoothness_se
0.0944135977546,fractal_dimension_mean
0.07346056982238627,texture_se
